Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Acc	MaxAcc	MinAcc	MaxTrialAcc	MaxMaxTrialAcc	MinMaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
94	3.1586475	1.153653	4.437619	0.45333335	126.833336	0.36534652	0.65000004	0.1	0.48000002	0.65000004	0.3	0.3	1.9772568	251.0	116.5	4.2083335	10.333333	0.0	14.073268	5.5	148.9768466949463
95	3.1262715	1.1563733	4.3320637	0.86153847	137.70833	0.34455448	0.65000004	0.05	0.41111115	0.65000004	0.2	0.15	2.5206814	216.0	127.791664	4.2083335	9.916667	0.0	9.090296	5.2916665	152.009290933609
96	3.4505532	1.0274787	4.3692307	0.50666666	136.66667	0.39009434	0.8	0.05	0.49375004	0.8	0.15	0.2	2.186466	259.0	125.875	4.4166665	10.791667	0.0	10.670067	5.6666665	153.24506640434265
97	3.1117737	1.3251455	4.601905	0.2	153.08333	0.4368687	0.7	0.15	0.54285717	0.7	0.4	0.2	2.5531142	302.0	143.91667	4.125	9.166667	0.0	10.939499	5.0833335	145.54920506477356
98	2.8860426	1.2004956	4.4307694	0.6666667	154.95833	0.34105265	0.65000004	0.1	0.46999997	0.65000004	0.25	0.3	2.0862203	249.0	146.375	3.9583333	8.583333	0.0	10.268873	4.9583335	151.5575089454651
99	3.2451026	1.1231592	4.1295238	0.89411765	131.91667	0.3567308	0.7	0.1	0.43076923	0.7	0.1	0.25	2.468464	179.0	123.541664	4.3333335	8.375	0.0	11.772972	5.3333335	154.01673579216003
100	3.640854	1.1063973	4.571562	0.0	114.458336	0.43623856	0.8	0.1	0.52000004	0.8	0.2	0.25	2.3049188	232.0	105.166664	4.5416665	9.291667	0.0	12.306922	5.625	150.93359565734863
101	3.7485962	0.946327	4.6622224	0.2	106.625	0.4631579	0.90000004	0.1	0.6	0.90000004	0.4	0.35	2.3366504	173.0	95.958336	4.75	10.666667	0.0	8.105301	5.7916665	134.11950659751892
102	3.5847797	0.7928856	4.3963637	1.1388888	104.458336	0.4283784	0.8	0.15	0.56875	0.8	0.3	0.2	2.271101	234.0	94.916664	4.625	9.541667	0.0	9.999313	5.5416665	137.28725361824036
103	3.325033	1.1310358	4.4711766	0.9411765	129.125	0.44571432	0.85	0.1	0.58000004	0.85	0.25	0.3	2.086327	141.0	119.208336	4.375	9.916667	0.0	12.10216	5.5	138.97091388702393
104	3.004804	1.3601947	4.288889	0.0	136.41667	0.3869792	0.75	0.1	0.42	0.75	0.15	0.5	1.951123	263.0	128.5	4.0	7.9166665	0.0	11.990372	4.7916665	137.29979157447815
105	3.412821	1.2578205	4.8678074	0.2	144.375	0.42932695	0.90000004	0.05	0.49444443	0.90000004	0.1	0.4	1.9931961	156.0	133.95833	4.3333335	10.416667	0.0	12.734656	5.4583335	140.39853739738464
106	2.3963714	1.5759534	4.3555555	0.0	142.70833	0.44	0.75	0.15	0.5071429	0.75	0.25	0.4	1.96912	237.0	136.66667	3.3333333	6.0416665	0.0	18.141237	4.1666665	122.98773860931396
107	3.2489579	1.079338	4.321616	0.6285714	127.708336	0.42403844	0.85	0.15	0.5277778	0.85	0.2	0.35	2.0453308	255.0	117.625	4.3333335	10.083333	0.0	9.23259	5.5833335	140.95460677146912
108	3.6430266	0.81808776	4.8152957	1.4239317	125.916664	0.45675674	0.8	0.15	0.55	0.8	0.25	0.35	2.1576257	193.0	115.916664	4.625	10.0	0.0	9.652679	5.9166665	141.50186204910278
109	3.1270359	1.3215176	4.508862	0.2	132.0	0.4209184	0.75	0.05	0.53125	0.75	0.2	0.2	2.769259	235.0	123.625	4.0833335	8.375	0.0	10.973895	4.7916665	136.9702718257904
110	3.1356392	1.2048464	4.7147884	0.0	156.125	0.379	0.65000004	0.05	0.40625	0.65000004	0.1	0.35	2.0290723	227.0	147.04167	4.1666665	9.083333	0.0	12.579755	5.3333335	139.05864715576172
111	3.0249774	1.1805857	4.6694508	0.2	159.58333	0.40051016	0.7	0.15	0.445	0.7	0.2	0.25	2.0450704	221.0	150.625	4.0833335	8.958333	0.0	10.232823	5.2083335	136.50706315040588
112	3.6959543	0.95080316	4.594286	0.2	107.833336	0.4626126	0.85	0.05	0.63125	0.85	0.45000002	0.45000002	1.8023787	178.0	98.666664	4.625	9.166667	0.0	13.269643	5.4166665	146.60090851783752
113	3.795089	0.7641299	4.523175	1.5714285	113.166664	0.4695652	0.8	0.2	0.59375	0.8	0.45000002	0.3	2.0122495	183.0	103.166664	4.7916665	10.0	0.0	9.29225	6.125	150.11877036094666
114	3.1768684	1.3716388	4.8147774	0.2	136.79167	0.41666666	0.90000004	0.1	0.52272725	0.90000004	0.2	0.25	2.10614	182.0	128.625	4.125	8.166667	0.0	13.352246	4.9583335	143.4202857017517
115	3.0947988	1.2099948	4.5769696	0.5777778	123.458336	0.37222221	0.7	0.05	0.47500002	0.7	0.1	0.45000002	1.937644	175.0	115.208336	4.125	8.25	0.0	9.657874	4.9583335	144.46571493148804
116	3.4003322	0.9843453	4.2237163	1.0915033	120.416664	0.3847222	0.7	0.1	0.45769233	0.7	0.2	0.35	2.6007204	223.0	109.75	4.5	10.666667	0.0	12.421891	5.375	141.1619074344635
117	3.4125454	1.3150651	4.6964707	0.0	124.0	0.42952383	0.8	0.1	0.53888893	0.8	0.2	0.4	2.0199049	172.0	113.916664	4.375	10.083333	0.0	9.546609	5.6666665	147.45695447921753
118	3.0603123	1.2345641	4.404329	0.0	139.54167	0.3939394	0.8	0.05	0.4666667	0.8	0.05	0.35	2.3217542	194.0	130.58333	4.125	8.958333	0.0	9.412899	5.0833335	146.88264179229736
119	3.2160423	1.3372501	4.6304717	0.5411765	148.75	0.44744897	0.75	0.15	0.56875	0.75	0.35	0.4	2.0625412	229.0	140.125	4.0833335	8.625	0.0	9.542365	5.0833335	140.92123579978943
120	3.530613	1.1149135	4.635198	0.6	126.875	0.45607483	0.85	0.05	0.53333336	0.85	0.25	0.4	2.206468	182.0	117.25	4.4583335	9.625	0.0	8.3611	5.5416665	146.66835141181946
